abrazar|hug|abraçar|umarmen|embrasser|abbracciare
cabalgar|ride a horse|cavalgar|reiten|chevaucher|cavalcare
calentar|heat|aquecer|erwärmen|chauffer|scaldare
cambiar|change|trocar|wechseln|changer|cambiare
camuflar|camouflage|camuflar|tarnen|camoufler|mimetizzare
cansar|tire out|cansar|ermüden|fatiguer|stancare
cantar|sing|cantar|singen|chanter|cantare
capturar|capture|capturar|fangen|capturer|catturare
cargar|load|carregar|beladen|charger|caricare
cavar|dig|cavar|graben|creuser|scavare
celebrar|celebrate|celebrar|feiern|célébrer|celebrare
cepillar|brush|escovar|bürsten|brosser|spazzolare
chorrear|drip|escorrer|tropfen|dégouliner|gocciolare
clavar|nail|pregar|nageln|clouer|inchiodare
cocinar|cook|cozinhar|kochen|cuisiner|cucinare
colorear|color in|colorir|ausmalen|colorier|colorare
combinar|combine|combinar|kombinieren|combiner|combinare
comer|eat|comer|essen|manger|mangiare
compartir|share|compartilhar|teilen|partager|condividere
competir|compete|competir|wetteifern|concourir|gareggiare
comprar|buy|comprar|kaufen|acheter|comprare
conectar|connect|conectar|verbinden|connecter|collegare
congelar|freeze|congelar|einfrieren|congeler|congelare
corregir|correct|corrigir|korrigieren|corriger|correggere
correr|run|correr|rennen|courir|correre
cosechar|harvest|colher|ernten|récolter|raccogliere il raccolto
crecer|grow|crescer|wachsen|grandir|crescere
criar|raise offspring|criar|aufziehen|élever|allevare
cruzar|cross|atravessar|überqueren|traverser|attraversare
cubrir|cover|cobrir|bedecken|couvrir|coprire
cultivar|cultivate|cultivar|anbauen|cultiver|coltivare
danzar|perform a dance|executar uma dança|einen Tanz aufführen|exécuter une danse|danzare
defender|defend|defender|verteidigen|défendre|difendere
derramar|spill|derramar|verschütten|renverser|versare
derretir|melt|derreter|schmelzen|faire fondre|sciogliere
desayunar|eat breakfast|tomar café da manhã|frühstücken|prendre le petit-déjeuner|fare colazione
descansar|rest|descansar|ausruhen|se reposer|riposare
desconectar|disconnect|desconectar|trennen|déconnecter|scollegare
desenchufar|unplug|tirar da tomada|ausstecken|débrancher|staccare la spina
desenredar|untangle|desembaraçar|entwirren|démêler|districare
deshacer|undo|desfazer|rückgängig machen|défaire|disfare
desmontar|take apart|desmontar|zerlegen|démonter|smontare
despeinar|mess up hair|despentear|zerzausen|décoiffer|spettinare
despertar|wake up|acordar|aufwachen|se réveiller|svegliarsi
destapar|uncover|destampar|aufdecken|découvrir|scoprire
devolver|give back|devolver|zurückgeben|rendre|restituire
dividir|divide|dividir|aufteilen|diviser|dividere
echar|throw out|jogar fora|hinauswerfen|jeter dehors|buttare fuori
elevar|elevate|elevar|anheben|élever en hauteur|elevare
empacar|pack|empacotar|einpacken|emballer|impacchettare
empujar|push|empurrar|schieben|pousser|spingere
enchufar|plug in|ligar na tomada|einstecken|brancher|attaccare la spina
enganchar|hook|enganchar|einhaken|accrocher|agganciare
engordar|gain weight|engordar|zunehmen|grossir|ingrassare
ensuciar|make dirty|sujar|beschmutzen|salir|sporcare
entregar|hand over|entregar|übergeben|remettre|consegnare
envolver|wrap|embrulhar|einwickeln|envelopper|avvolgere
escalar|climb|escalar|klettern|escalader|scalare
esconder|hide|esconder|verstecken|cacher|nascondere
escribir|write|escrever|schreiben|écrire|scrivere
esculpir|sculpt|esculpir|bildhauern|sculpter|scolpire
esperar|wait|esperar|warten|attendre|aspettare
espiar|spy|espionar|spionieren|espionner|spiare
esquiar|ski|esquiar|Ski fahren|skier|sciare
esquivar|dodge|esquivar|ausweichen|esquiver|schivare
estudiar|study|estudar|lernen|étudier|studiare
exprimir|squeeze juice|espremer|auspressen|presser|spremere
extraer|extract|extrair|extrahieren|extraire|estrarre
fabricar|manufacture|fabricar|herstellen|fabriquer|fabbricare
festejar|party|festejar|ein Fest feiern|faire la fête|festeggiare
florecer|bloom|florescer|blühen|fleurir|fiorire
freír|fry|fritar|frittieren|frire|friggere
frenar|brake|frear|bremsen|freiner|frenare
frotar|rub|esfregar|reiben|frotter|strofinare
fundir|smelt|fundir|einschmelzen|fondre du métal|fondere
gastar|spend|gastar|ausgeben|dépenser|spendere
girar|turn|girar|drehen|tourner|girare
golpear|hit|golpear|schlagen|frapper|colpire
grabar|record|gravar|aufnehmen|enregistrer|registrare
gritar|shout|gritar|schreien|crier|gridare
guisar|stew|refogar|schmoren|mijoter|stufare
hablar|speak|falar|sprechen|parler|parlare
hacer|do|fazer|machen|faire|fare
herir|wound|ferir|verwunden|blesser|ferire
hervir|boil|ferver|sieden|bouillir|bollire
hinchar|swell|inchar|anschwellen|gonfler|gonfiare
hundir|sink|afundar|versenken|couler|affondare
ir|go|ir|hingehen|aller|andare
juntar|gather|juntar|sammeln|rassembler|riunire
lamer|lick|lamber|lecken|lécher|leccare
lastimar|hurt|machucar|verletzen|faire mal|fare male
lijar|sand|lixar|schleifen|poncer|levigare
limpiar|clean|limpar|reinigen|nettoyer|pulire
llorar|cry|chorar|weinen|pleurer|piangere
madrugar|get up early|acordar cedo|früh aufstehen|se lever tôt|alzarsi presto
manejar|drive|dirigir|Auto fahren|conduire|guidare
mojar|wet|molhar|nass machen|mouiller|bagnare
morder|bite|morder|beißen|mordre|mordere
mostrar|show|mostrar|zeigen|montrer|mostrare
nacer|be born|nascer|geboren werden|naître|nascere
nadar|swim|nadar|schwimmen|nager|nuotare
nevar|snow|nevar|schneien|neiger|nevicare
pasear|stroll|passear|spazieren gehen|se promener|passeggiare
patinar|skate|patinar|skaten|patiner|pattinare
pedir|ask for|pedir|bitten|demander|chiedere
pegar|glue|colar|kleben|coller|incollare
pensar|think|pensar|denken|penser|pensare
perder|lose|perder|verlieren|perdre|perdere
pescar|fish|pescar|angeln|pêcher|pescare
picar|chop|picar|hacken|hacher|tritare
pinchar|prick|furar|stechen|piquer|pungere
plantar|plant|plantar|pflanzen|planter|piantare
prender|light|acender|anzünden|allumer|accendere
prestar|lend|emprestar|verleihen|prêter|prestare
quemar|burn|queimar|verbrennen|brûler|bruciare
quitar|remove|tirar|wegnehmen|enlever|togliere
raspar|scrape|raspar|schaben|racler|raschiare
rodar|roll|rolar|rollen|rouler|rotolare
romper|break|quebrar|zerbrechen|casser|rompere
saltar|jump|pular|springen|sauter|saltare
secar|dry|secar|trocknen|sécher|asciugare
sentar|seat someone|sentar alguém|jemanden hinsetzen|faire asseoir|far sedere
subir|go up|subir|hinaufgehen|monter|salire
sudar|sweat|suar|schwitzen|transpirer|sudare
sumar|add|somar|addieren|additionner|sommare
tejer|knit|tricotar|stricken|tricoter|lavorare a maglia
temblar|tremble|tremer|zittern|trembler|tremare
teñir|dye|tingir|färben|teindre|tingere
tirar|throw|arremessar|werfen|lancer|lanciare
tocar|touch|tocar|berühren|toucher|toccare
tomar|take|pegar|nehmen|prendre|prendere
torcer|twist|torcer|verdrehen|tordre|torcere
tostar|toast|torrar|rösten|griller|tostare
trabajar|work|trabalhar|arbeiten|travailler|lavorare
trepar|clamber up|subir agarrando-se|hochklettern|grimper|arrampicarsi
tropezar|trip|tropeçar|stolpern|trébucher|inciampare
unir|join|unir|vereinen|unir|unire
vender|sell|vender|verkaufen|vendre|vendere
venir|come|vir|kommen|venir|venire
vestir|dress|vestir|ankleiden|habiller|vestire
viajar|travel|viajar|reisen|voyager|viaggiare
vigilar|watch over|vigiar|bewachen|surveiller|sorvegliare
vivir|live|viver|leben|vivre|vivere
volar|fly|voar|fliegen|voler|volare
voltear|flip over|virar|umdrehen|retourner|capovolgere
vomitar|vomit|vomitar|erbrechen|vomir|vomitare
votar|vote|votar|abstimmen|voter|votare
